date,meal_type,weather,schedule,day_of_week,actual_demand
2025-06-23,lunch,cloudy,regular,monday,477
2025-06-23,snacks,cloudy,regular,monday,213
2025-06-23,dinner,cloudy,regular,monday,674
2025-06-24,breakfast,cloudy,regular,tuesday,285
2025-06-24,lunch,cloudy,regular,tuesday,405
2025-06-24,snacks,cloudy,regular,tuesday,178
2025-06-24,dinner,cloudy,regular,tuesday,639
2025-06-25,breakfast,cloudy,regular,wednesday,283
2025-06-25,lunch,cloudy,regular,wednesday,503
2025-06-25,snacks,cloudy,regular,wednesday,184
2025-06-25,dinner,cloudy,regular,wednesday,646
2025-06-26,breakfast,cloudy,regular,thursday,267
2025-06-26,lunch,cloudy,regular,thursday,479
2025-06-26,snacks,cloudy,regular,thursday,203
2025-06-26,dinner,cloudy,regular,thursday,739
2025-06-27,breakfast,cloudy,regular,friday,256
2025-06-27,lunch,cloudy,regular,friday,490
2025-06-27,snacks,cloudy,regular,friday,167
2025-06-27,dinner,cloudy,regular,friday,722
2025-06-28,breakfast,cloudy,regular,saturday,258
2025-06-28,lunch,cloudy,regular,saturday,411
2025-06-28,snacks,cloudy,regular,saturday,162
2025-06-28,dinner,cloudy,regular,saturday,521
2025-06-29,breakfast,cloudy,weekend,sunday,192
2025-06-29,lunch,cloudy,weekend,sunday,284
2025-06-29,snacks,cloudy,weekend,sunday,140
2025-06-29,dinner,cloudy,weekend,sunday,424
2025-06-30,breakfast,cloudy,regular,monday,283
2025-06-30,lunch,cloudy,regular,monday,417
2025-06-30,snacks,cloudy,regular,monday,201
2025-06-30,dinner,cloudy,regular,monday,638
2025-07-01,breakfast,cloudy,regular,tuesday,306
2025-07-01,lunch,cloudy,regular,tuesday,506
2025-07-01,snacks,cloudy,regular,tuesday,188
2025-07-01,dinner,cloudy,regular,tuesday,595
2025-07-02,breakfast,cloudy,regular,wednesday,275
2025-07-02,lunch,cloudy,regular,wednesday,467
2025-07-02,snacks,cloudy,regular,wednesday,163
2025-07-02,dinner,cloudy,regular,wednesday,769
2025-07-03,breakfast,cloudy,regular,thursday,292
2025-07-03,lunch,cloudy,regular,thursday,504
2025-07-03,snacks,cloudy,regular,thursday,189
2025-07-03,dinner,cloudy,regular,thursday,573
2025-07-04,breakfast,cloudy,regular,friday,271
2025-07-04,lunch,cloudy,regular,friday,498
2025-07-04,snacks,cloudy,regular,friday,196
2025-07-04,dinner,cloudy,regular,friday,600
2025-07-05,breakfast,cloudy,weekend,saturday,206
2025-07-05,lunch,cloudy,weekend,saturday,337
2025-07-05,snacks,cloudy,weekend,saturday,127
2025-07-05,dinner,cloudy,weekend,saturday,505
2025-07-06,breakfast,cloudy,weekend,sunday,211
2025-07-06,lunch,cloudy,weekend,sunday,340
2025-07-06,snacks,cloudy,weekend,sunday,112
2025-07-06,dinner,cloudy,weekend,sunday,376
2025-07-07,breakfast,cloudy,regular,monday,298
2025-07-07,lunch,cloudy,regular,monday,501
2025-07-07,snacks,cloudy,regular,monday,203
2025-07-07,dinner,cloudy,regular,monday,634
2025-07-08,breakfast,cloudy,regular,tuesday,277
2025-07-08,lunch,cloudy,regular,tuesday,503
2025-07-08,snacks,cloudy,regular,tuesday,175
2025-07-08,dinner,cloudy,regular,tuesday,834
2025-07-09,breakfast,cloudy,regular,wednesday,344
2025-07-09,lunch,cloudy,regular,wednesday,513
2025-07-09,snacks,cloudy,regular,wednesday,205
2025-07-09,dinner,cloudy,regular,wednesday,618
2025-07-10,breakfast,cloudy,regular,thursday,318
2025-07-10,lunch,cloudy,regular,thursday,440
2025-07-10,snacks,cloudy,regular,thursday,180
2025-07-10,dinner,cloudy,regular,thursday,730
2025-07-11,breakfast,rainy,regular,friday,226
2025-07-11,lunch,rainy,regular,friday,336
2025-07-11,snacks,rainy,regular,friday,165
2025-07-11,dinner,rainy,regular,friday,580
2025-07-12,breakfast,cloudy,regular,saturday,259
2025-07-12,lunch,cloudy,regular,saturday,377
2025-07-12,snacks,cloudy,regular,saturday,140
2025-07-12,dinner,cloudy,regular,saturday,556
2025-07-13,breakfast,cloudy,weekend,sunday,184
2025-07-13,lunch,cloudy,weekend,sunday,320
2025-07-13,snacks,cloudy,weekend,sunday,131
2025-07-13,dinner,cloudy,weekend,sunday,406
2025-07-14,breakfast,rainy,regular,monday,229
2025-07-14,lunch,rainy,regular,monday,434
2025-07-14,snacks,rainy,regular,monday,195
2025-07-14,dinner,rainy,regular,monday,591
2025-07-15,breakfast,cloudy,regular,tuesday,283
2025-07-15,lunch,cloudy,regular,tuesday,474
2025-07-15,snacks,cloudy,regular,tuesday,196
2025-07-15,dinner,cloudy,regular,tuesday,651
2025-07-16,breakfast,stormy,regular,wednesday,178
2025-07-16,lunch,stormy,regular,wednesday,292
2025-07-16,snacks,stormy,regular,wednesday,109
2025-07-16,dinner,stormy,regular,wednesday,393
2025-07-17,breakfast,stormy,regular,thursday,90
2025-07-17,lunch,stormy,regular,thursday,152
2025-07-17,snacks,stormy,regular,thursday,70
2025-07-17,dinner,stormy,regular,thursday,208
2025-07-18,breakfast,rainy,regular,friday,108
2025-07-18,lunch,rainy,regular,friday,235
2025-07-18,snacks,rainy,regular,friday,77
2025-07-18,dinner,rainy,regular,friday,238
2025-07-19,breakfast,rainy,weekend,saturday,61
2025-07-19,lunch,rainy,weekend,saturday,126
2025-07-19,snacks,rainy,weekend,saturday,57
2025-07-19,dinner,rainy,weekend,saturday,180
2025-07-20,breakfast,cloudy,weekend,sunday,191
2025-07-20,lunch,cloudy,weekend,sunday,318
2025-07-20,snacks,cloudy,weekend,sunday,127
2025-07-20,dinner,cloudy,weekend,sunday,368
2025-07-21,breakfast,rainy,regular,monday,283
2025-07-21,lunch,rainy,regular,monday,408
2025-07-21,snacks,rainy,regular,monday,149
2025-07-21,dinner,rainy,regular,monday,528
2025-07-22,breakfast,cloudy,regular,tuesday,284
2025-07-22,lunch,cloudy,regular,tuesday,456
2025-07-22,snacks,cloudy,regular,tuesday,202
2025-07-22,dinner,cloudy,regular,tuesday,655
2025-07-23,breakfast,rainy,regular,wednesday,212
2025-07-23,lunch,rainy,regular,wednesday,429
2025-07-23,snacks,rainy,regular,wednesday,153
2025-07-23,dinner,rainy,regular,wednesday,556
2025-07-24,breakfast,cloudy,regular,thursday,301
2025-07-24,lunch,cloudy,regular,thursday,424
2025-07-24,snacks,cloudy,regular,thursday,200
2025-07-24,dinner,cloudy,regular,thursday,638
2025-07-25,breakfast,cloudy,regular,friday,261
2025-07-25,lunch,cloudy,regular,friday,516
2025-07-25,snacks,cloudy,regular,friday,158
2025-07-25,dinner,cloudy,regular,friday,778
2025-07-26,breakfast,rainy,regular,saturday,199
2025-07-26,lunch,rainy,regular,saturday,348
2025-07-26,snacks,rainy,regular,saturday,130
2025-07-26,dinner,rainy,regular,saturday,547
2025-07-27,breakfast,cloudy,weekend,sunday,171
2025-07-27,lunch,cloudy,weekend,sunday,312
2025-07-27,snacks,cloudy,weekend,sunday,112
2025-07-27,dinner,cloudy,weekend,sunday,433
2025-07-28,breakfast,cloudy,regular,monday,287
2025-07-28,lunch,cloudy,regular,monday,538
2025-07-28,snacks,cloudy,regular,monday,199
2025-07-28,dinner,cloudy,regular,monday,731
2025-07-29,breakfast,cloudy,regular,tuesday,253
2025-07-29,lunch,cloudy,regular,tuesday,531
2025-07-29,snacks,cloudy,regular,tuesday,201
2025-07-29,dinner,cloudy,regular,tuesday,798
2025-07-30,breakfast,cloudy,regular,wednesday,331
2025-07-30,lunch,cloudy,regular,wednesday,466
2025-07-30,snacks,cloudy,regular,wednesday,192
2025-07-30,dinner,cloudy,regular,wednesday,718
2025-07-31,breakfast,cloudy,regular,thursday,317
2025-07-31,lunch,cloudy,regular,thursday,427
2025-07-31,snacks,cloudy,regular,thursday,184
2025-07-31,dinner,cloudy,regular,thursday,757
2025-08-01,breakfast,cloudy,regular,friday,300
2025-08-01,lunch,cloudy,regular,friday,551
2025-08-01,snacks,cloudy,regular,friday,174
2025-08-01,dinner,cloudy,regular,friday,580
2025-08-02,breakfast,rainy,weekend,saturday,152
2025-08-02,lunch,rainy,weekend,saturday,306
2025-08-02,snacks,rainy,weekend,saturday,99
2025-08-02,dinner,rainy,weekend,saturday,312
2025-08-03,breakfast,cloudy,weekend,sunday,159
2025-08-03,lunch,cloudy,weekend,sunday,312
2025-08-03,snacks,cloudy,weekend,sunday,118
2025-08-03,dinner,cloudy,weekend,sunday,423
2025-08-04,breakfast,cloudy,regular,monday,276
2025-08-04,lunch,cloudy,regular,monday,481
2025-08-04,snacks,cloudy,regular,monday,204
2025-08-04,dinner,cloudy,regular,monday,776
2025-08-05,breakfast,cloudy,regular,tuesday,268
2025-08-05,lunch,cloudy,regular,tuesday,459
2025-08-05,snacks,cloudy,regular,tuesday,191
2025-08-05,dinner,cloudy,regular,tuesday,653
2025-08-06,breakfast,cloudy,regular,wednesday,255
2025-08-06,lunch,cloudy,regular,wednesday,486
2025-08-06,snacks,cloudy,regular,wednesday,186
2025-08-06,dinner,cloudy,regular,wednesday,685
2025-08-07,breakfast,cloudy,regular,thursday,311
2025-08-07,lunch,cloudy,regular,thursday,437
2025-08-07,snacks,cloudy,regular,thursday,204
2025-08-07,dinner,cloudy,regular,thursday,664
2025-08-08,breakfast,cloudy,regular,friday,256
2025-08-08,lunch,cloudy,regular,friday,461
2025-08-08,snacks,cloudy,regular,friday,177
2025-08-08,dinner,cloudy,regular,friday,724
2025-08-09,breakfast,cloudy,regular,saturday,232
2025-08-09,lunch,cloudy,regular,saturday,368
2025-08-09,snacks,cloudy,regular,saturday,160
2025-08-09,dinner,cloudy,regular,saturday,470
2025-08-10,breakfast,cloudy,weekend,sunday,171
2025-08-10,lunch,cloudy,weekend,sunday,310
2025-08-10,snacks,cloudy,weekend,sunday,126
2025-08-10,dinner,cloudy,weekend,sunday,405
2025-08-11,breakfast,cloudy,exams,monday,250
2025-08-11,lunch,cloudy,exams,monday,505
2025-08-11,snacks,cloudy,exams,monday,220
2025-08-11,dinner,cloudy,exams,monday,548
2025-08-12,breakfast,cloudy,exams,tuesday,224
2025-08-12,lunch,cloudy,exams,tuesday,515
2025-08-12,snacks,cloudy,exams,tuesday,236
2025-08-12,dinner,cloudy,exams,tuesday,566
2025-08-13,breakfast,cloudy,exams,wednesday,214
2025-08-13,lunch,cloudy,exams,wednesday,475
2025-08-13,snacks,cloudy,exams,wednesday,260
2025-08-13,dinner,cloudy,exams,wednesday,489
2025-08-14,breakfast,cloudy,exams,thursday,264
2025-08-14,lunch,cloudy,exams,thursday,485
2025-08-14,snacks,cloudy,exams,thursday,217
2025-08-14,dinner,cloudy,exams,thursday,524
2025-08-15,breakfast,rainy,exams,friday,220
2025-08-15,lunch,rainy,exams,friday,433
2025-08-15,snacks,rainy,exams,friday,170
2025-08-15,dinner,rainy,exams,friday,513
2025-08-16,breakfast,cloudy,exams,saturday,189
2025-08-16,lunch,cloudy,exams,saturday,466
2025-08-16,snacks,cloudy,exams,saturday,191
2025-08-16,dinner,cloudy,exams,saturday,401
2025-08-17,breakfast,rainy,weekend,sunday,81
2025-08-17,lunch,rainy,weekend,sunday,150
2025-08-17,snacks,rainy,weekend,sunday,42
2025-08-17,dinner,rainy,weekend,sunday,166
2025-08-18,breakfast,cloudy,regular,monday,321
2025-08-18,lunch,cloudy,regular,monday,466
2025-08-18,snacks,cloudy,regular,monday,186
2025-08-18,dinner,cloudy,regular,monday,744
2025-08-19,breakfast,cloudy,regular,tuesday,309
2025-08-19,lunch,cloudy,regular,tuesday,494
2025-08-19,snacks,cloudy,regular,tuesday,189
2025-08-19,dinner,cloudy,regular,tuesday,629
2025-08-20,breakfast,cloudy,regular,wednesday,282
2025-08-20,lunch,cloudy,regular,wednesday,471
2025-08-20,snacks,cloudy,regular,wednesday,202
2025-08-20,dinner,cloudy,regular,wednesday,632
2025-08-21,breakfast,cloudy,regular,thursday,294
2025-08-21,lunch,cloudy,regular,thursday,495
2025-08-21,snacks,cloudy,regular,thursday,209
2025-08-21,dinner,cloudy,regular,thursday,763
2025-08-22,breakfast,cloudy,regular,friday,291
2025-08-22,lunch,cloudy,regular,friday,438
2025-08-22,snacks,cloudy,regular,friday,172
2025-08-22,dinner,cloudy,regular,friday,623
2025-08-23,breakfast,cloudy,regular,saturday,224
2025-08-23,lunch,cloudy,regular,saturday,389
2025-08-23,snacks,cloudy,regular,saturday,167
2025-08-23,dinner,cloudy,regular,saturday,567
2025-08-24,breakfast,cloudy,weekend,sunday,169
2025-08-24,lunch,cloudy,weekend,sunday,328
2025-08-24,snacks,cloudy,weekend,sunday,113
2025-08-24,dinner,cloudy,weekend,sunday,475
2025-08-25,breakfast,cloudy,regular,monday,301
2025-08-25,lunch,cloudy,regular,monday,505
2025-08-25,snacks,cloudy,regular,monday,180
2025-08-25,dinner,cloudy,regular,monday,613
2025-08-26,breakfast,cloudy,regular,tuesday,293
2025-08-26,lunch,cloudy,regular,tuesday,460
2025-08-26,snacks,cloudy,regular,tuesday,190
2025-08-26,dinner,cloudy,regular,tuesday,790
2025-08-27,breakfast,cloudy,regular,wednesday,277
2025-08-27,lunch,cloudy,regular,wednesday,435
2025-08-27,snacks,cloudy,regular,wednesday,212
2025-08-27,dinner,cloudy,regular,wednesday,696
2025-08-28,breakfast,stormy,regular,thursday,171
2025-08-28,lunch,stormy,regular,thursday,334
2025-08-28,snacks,stormy,regular,thursday,129
2025-08-28,dinner,stormy,regular,thursday,488
2025-08-29,breakfast,cloudy,regular,friday,305
2025-08-29,lunch,cloudy,regular,friday,486
2025-08-29,snacks,cloudy,regular,friday,187
2025-08-29,dinner,cloudy,regular,friday,613
2025-08-30,breakfast,cloudy,weekend,saturday,194
2025-08-30,lunch,cloudy,weekend,saturday,357
2025-08-30,snacks,cloudy,weekend,saturday,119
2025-08-30,dinner,cloudy,weekend,saturday,422
2025-08-31,breakfast,cloudy,weekend,sunday,169
2025-08-31,lunch,cloudy,weekend,sunday,270
2025-08-31,snacks,cloudy,weekend,sunday,109
2025-08-31,dinner,cloudy,weekend,sunday,405
2025-09-01,breakfast,cloudy,regular,monday,293
2025-09-01,lunch,cloudy,regular,monday,466
2025-09-01,snacks,cloudy,regular,monday,191
2025-09-01,dinner,cloudy,regular,monday,669
2025-09-02,breakfast,cloudy,regular,tuesday,343
2025-09-02,lunch,cloudy,regular,tuesday,450
2025-09-02,snacks,cloudy,regular,tuesday,176
2025-09-02,dinner,cloudy,regular,tuesday,667
2025-09-03,breakfast,cloudy,regular,wednesday,272
2025-09-03,lunch,cloudy,regular,wednesday,508
2025-09-03,snacks,cloudy,regular,wednesday,166
2025-09-03,dinner,cloudy,regular,wednesday,731
2025-09-04,breakfast,rainy,regular,thursday,240
2025-09-04,lunch,rainy,regular,thursday,505
2025-09-04,snacks,rainy,regular,thursday,155
2025-09-04,dinner,rainy,regular,thursday,594
2025-09-05,breakfast,rainy,regular,friday,237
2025-09-05,lunch,rainy,regular,friday,355
2025-09-05,snacks,rainy,regular,friday,156
2025-09-05,dinner,rainy,regular,friday,564
2025-09-06,breakfast,cloudy,regular,saturday,216
2025-09-06,lunch,cloudy,regular,saturday,388
2025-09-06,snacks,cloudy,regular,saturday,149
2025-09-06,dinner,cloudy,regular,saturday,528
2025-09-07,breakfast,cloudy,weekend,sunday,188
2025-09-07,lunch,cloudy,weekend,sunday,352
2025-09-07,snacks,cloudy,weekend,sunday,115
2025-09-07,dinner,cloudy,weekend,sunday,454
2025-09-08,breakfast,cloudy,regular,monday,311
2025-09-08,lunch,cloudy,regular,monday,504
2025-09-08,snacks,cloudy,regular,monday,195
2025-09-08,dinner,cloudy,regular,monday,637
2025-09-09,breakfast,cloudy,regular,tuesday,277
2025-09-09,lunch,cloudy,regular,tuesday,505
2025-09-09,snacks,cloudy,regular,tuesday,182
2025-09-09,dinner,cloudy,regular,tuesday,728
2025-09-10,breakfast,cloudy,regular,wednesday,268
2025-09-10,lunch,cloudy,regular,wednesday,508
2025-09-10,snacks,cloudy,regular,wednesday,184
2025-09-10,dinner,cloudy,regular,wednesday,708
2025-09-11,breakfast,cloudy,regular,thursday,131
2025-09-11,lunch,cloudy,regular,thursday,229
2025-09-11,snacks,cloudy,regular,thursday,89
2025-09-11,dinner,cloudy,regular,thursday,360
2025-09-12,breakfast,cloudy,regular,friday,122
2025-09-12,lunch,cloudy,regular,friday,217
2025-09-12,snacks,cloudy,regular,friday,86
2025-09-12,dinner,cloudy,regular,friday,313
2025-09-13,breakfast,cloudy,weekend,saturday,84
2025-09-13,lunch,cloudy,weekend,saturday,140
2025-09-13,snacks,cloudy,weekend,saturday,56
2025-09-13,dinner,cloudy,weekend,saturday,249
2025-09-14,breakfast,cloudy,weekend,sunday,179
2025-09-14,lunch,cloudy,weekend,sunday,350
2025-09-14,snacks,cloudy,weekend,sunday,123
2025-09-14,dinner,cloudy,weekend,sunday,385
2025-09-15,breakfast,cloudy,regular,monday,272
2025-09-15,lunch,cloudy,regular,monday,444
2025-09-15,snacks,cloudy,regular,monday,178
2025-09-15,dinner,cloudy,regular,monday,702
2025-09-16,breakfast,rainy,regular,tuesday,253
2025-09-16,lunch,rainy,regular,tuesday,388
2025-09-16,snacks,rainy,regular,tuesday,156
2025-09-16,dinner,rainy,regular,tuesday,656
2025-09-17,breakfast,rainy,regular,wednesday,226
2025-09-17,lunch,rainy,regular,wednesday,390
2025-09-17,snacks,rainy,regular,wednesday,152
2025-09-17,dinner,rainy,regular,wednesday,553
2025-09-18,breakfast,cloudy,regular,thursday,301
2025-09-18,lunch,cloudy,regular,thursday,414
2025-09-18,snacks,cloudy,regular,thursday,198
2025-09-18,dinner,cloudy,regular,thursday,695
2025-09-19,breakfast,rainy,regular,friday,271
2025-09-19,lunch,rainy,regular,friday,412
2025-09-19,snacks,rainy,regular,friday,157
2025-09-19,dinner,rainy,regular,friday,622
2025-09-20,breakfast,rainy,regular,saturday,206
2025-09-20,lunch,rainy,regular,saturday,316
2025-09-20,snacks,rainy,regular,saturday,132
2025-09-20,dinner,rainy,regular,saturday,425
2025-09-21,breakfast,rainy,weekend,sunday,140
2025-09-21,lunch,rainy,weekend,sunday,256
2025-09-21,snacks,rainy,weekend,sunday,113
2025-09-21,dinner,rainy,weekend,sunday,362
2025-09-22,breakfast,cloudy,regular,monday,356
2025-09-22,lunch,cloudy,regular,monday,480
2025-09-22,snacks,cloudy,regular,monday,202
2025-09-22,dinner,cloudy,regular,monday,658
2025-09-23,breakfast,rainy,regular,tuesday,227
2025-09-23,lunch,rainy,regular,tuesday,454
2025-09-23,snacks,rainy,regular,tuesday,150
2025-09-23,dinner,rainy,regular,tuesday,668
2025-09-24,breakfast,cloudy,regular,wednesday,266
2025-09-24,lunch,cloudy,regular,wednesday,451
2025-09-24,snacks,cloudy,regular,wednesday,203
2025-09-24,dinner,cloudy,regular,wednesday,646
2025-09-25,breakfast,cloudy,regular,thursday,280
2025-09-25,lunch,cloudy,regular,thursday,479
2025-09-25,snacks,cloudy,regular,thursday,191
2025-09-25,dinner,cloudy,regular,thursday,651
2025-09-26,breakfast,cloudy,regular,friday,273
2025-09-26,lunch,cloudy,regular,friday,425
2025-09-26,snacks,cloudy,regular,friday,188
2025-09-26,dinner,cloudy,regular,friday,671
2025-09-27,breakfast,cloudy,weekend,saturday,190
2025-09-27,lunch,cloudy,weekend,saturday,349
2025-09-27,snacks,cloudy,weekend,saturday,124
2025-09-27,dinner,cloudy,weekend,saturday,458
2025-09-28,breakfast,cloudy,weekend,sunday,174
2025-09-28,lunch,cloudy,weekend,sunday,309
2025-09-28,snacks,cloudy,weekend,sunday,138
2025-09-28,dinner,cloudy,weekend,sunday,387
2025-09-29,breakfast,cloudy,regular,monday,309
2025-09-29,lunch,cloudy,regular,monday,518
2025-09-29,snacks,cloudy,regular,monday,234
2025-09-29,dinner,cloudy,regular,monday,732
2025-09-30,breakfast,cloudy,regular,tuesday,252
2025-09-30,lunch,cloudy,regular,tuesday,491
2025-09-30,snacks,cloudy,regular,tuesday,198
2025-09-30,dinner,cloudy,regular,tuesday,641
2025-10-01,breakfast,cloudy,exams,wednesday,246
2025-10-01,lunch,cloudy,exams,wednesday,489
2025-10-01,snacks,cloudy,exams,wednesday,201
2025-10-01,dinner,cloudy,exams,wednesday,532
2025-10-02,breakfast,cloudy,exams,thursday,257
2025-10-02,lunch,cloudy,exams,thursday,585
2025-10-02,snacks,cloudy,exams,thursday,235
2025-10-02,dinner,cloudy,exams,thursday,472
2025-10-03,breakfast,rainy,exams,friday,168
2025-10-03,lunch,rainy,exams,friday,464
2025-10-03,snacks,rainy,exams,friday,175
2025-10-03,dinner,rainy,exams,friday,444
2025-10-04,breakfast,stormy,exams,saturday,149
2025-10-04,lunch,stormy,exams,saturday,246
2025-10-04,snacks,stormy,exams,saturday,113
2025-10-04,dinner,stormy,exams,saturday,272
2025-10-05,breakfast,rainy,exams,sunday,142
2025-10-05,lunch,rainy,exams,sunday,327
2025-10-05,snacks,rainy,exams,sunday,146
2025-10-05,dinner,rainy,exams,sunday,325
2025-10-06,breakfast,cloudy,exams,monday,283
2025-10-06,lunch,cloudy,exams,monday,593
2025-10-06,snacks,cloudy,exams,monday,199
2025-10-06,dinner,cloudy,exams,monday,549
2025-10-07,breakfast,cloudy,exams,tuesday,272
2025-10-07,lunch,cloudy,exams,tuesday,553
2025-10-07,snacks,cloudy,exams,tuesday,246
2025-10-07,dinner,cloudy,exams,tuesday,436
2025-10-08,breakfast,rainy,exams,wednesday,213
2025-10-08,lunch,rainy,exams,wednesday,416
2025-10-08,snacks,rainy,exams,wednesday,167
2025-10-08,dinner,rainy,exams,wednesday,370
2025-10-09,breakfast,cloudy,exams,thursday,226
2025-10-09,lunch,cloudy,exams,thursday,495
2025-10-09,snacks,cloudy,exams,thursday,240
2025-10-09,dinner,cloudy,exams,thursday,532
2025-10-10,breakfast,cloudy,exams,friday,212
2025-10-10,lunch,cloudy,exams,friday,557
2025-10-10,snacks,cloudy,exams,friday,227
2025-10-10,dinner,cloudy,exams,friday,454
2025-10-11,breakfast,rainy,exams,saturday,173
2025-10-11,lunch,rainy,exams,saturday,400
2025-10-11,snacks,rainy,exams,saturday,177
2025-10-11,dinner,rainy,exams,saturday,326
2025-10-12,breakfast,rainy,exams,sunday,155
2025-10-12,lunch,rainy,exams,sunday,336
2025-10-12,snacks,rainy,exams,sunday,140
2025-10-12,dinner,rainy,exams,sunday,337
2025-10-13,breakfast,cloudy,exams,monday,266
2025-10-13,lunch,cloudy,exams,monday,480
2025-10-13,snacks,cloudy,exams,monday,211
2025-10-13,dinner,cloudy,exams,monday,650
2025-10-14,breakfast,stormy,exams,tuesday,153
2025-10-14,lunch,stormy,exams,tuesday,312
2025-10-14,snacks,stormy,exams,tuesday,164
2025-10-14,dinner,stormy,exams,tuesday,338
2025-10-15,breakfast,rainy,exams,wednesday,209
2025-10-15,lunch,rainy,exams,wednesday,463
2025-10-15,snacks,rainy,exams,wednesday,177
2025-10-15,dinner,rainy,exams,wednesday,430
2025-10-16,breakfast,rainy,exams,thursday,217
2025-10-16,lunch,rainy,exams,thursday,485
2025-10-16,snacks,rainy,exams,thursday,202
2025-10-16,dinner,rainy,exams,thursday,405
2025-10-17,breakfast,stormy,exams,friday,160
